,Date_measurement,RNA_flow_per_100000,RNA_per_ml,Measurement_count,pandas_SMA_3,pandas_SMA_7,RNA_per_100000_per_measurement
0,2020-03-30,0.0,1837.0,0,,,
1,2020-03-31,0.0,6890.0,0,,,
2,2020-04-01,0.0,12697.0,0,0.0,,
3,2020-04-02,0.0,7193.0,0,0.0,,
4,2020-04-05,0.0,11030.0,0,0.0,,
5,2020-04-06,0.0,3446.0,0,0.0,,
6,2020-04-07,0.0,9258.0,0,0.0,0.0,
7,2020-04-08,0.0,16993.0,0,0.0,0.0,
8,2020-04-09,0.0,2733.0,0,0.0,0.0,
9,2020-04-10,0.0,892.0,0,0.0,0.0,
10,2020-04-13,0.0,8644.0,0,0.0,0.0,
11,2020-04-14,0.0,1699.0,0,0.0,0.0,
12,2020-04-15,0.0,5127.0,0,0.0,0.0,
13,2020-04-16,0.0,2169.0,0,0.0,0.0,
14,2020-04-17,0.0,32.0,0,0.0,0.0,
15,2020-04-19,0.0,605.0,0,0.0,0.0,
16,2020-04-20,0.0,748.0,0,0.0,0.0,
17,2020-04-21,0.0,2863.0,0,0.0,0.0,
18,2020-04-22,0.0,8212.0,0,0.0,0.0,
19,2020-04-23,0.0,12456.0,0,0.0,0.0,
20,2020-04-26,0.0,135.0,0,0.0,0.0,
21,2020-04-27,0.0,2392.0,0,0.0,0.0,
22,2020-04-28,0.0,2408.0,0,0.0,0.0,
23,2020-04-29,0.0,3235.0,0,0.0,0.0,
24,2020-04-30,0.0,530.0,0,0.0,0.0,
25,2020-05-01,0.0,57.0,0,0.0,0.0,
26,2020-05-03,0.0,822.0,0,0.0,0.0,
27,2020-05-05,0.0,3253.0,0,0.0,0.0,
28,2020-05-06,0.0,3578.0,0,0.0,0.0,
29,2020-05-07,0.0,318.0,0,0.0,0.0,
30,2020-05-09,0.0,222.0,0,0.0,0.0,
31,2020-05-10,0.0,757.0,0,0.0,0.0,
32,2020-05-11,0.0,1812.0,0,0.0,0.0,
33,2020-05-12,0.0,435.0,0,0.0,0.0,
34,2020-05-13,0.0,1353.0,0,0.0,0.0,
35,2020-05-15,0.0,265.0,0,0.0,0.0,
36,2020-05-16,0.0,52.0,0,0.0,0.0,
37,2020-05-17,0.0,1569.0,0,0.0,0.0,
38,2020-05-18,0.0,211.0,0,0.0,0.0,
39,2020-05-19,0.0,777.0,0,0.0,0.0,
40,2020-05-20,0.0,68.0,0,0.0,0.0,
41,2020-05-21,0.0,3927.0,0,0.0,0.0,
42,2020-05-22,0.0,108.0,0,0.0,0.0,
43,2020-05-23,0.0,63.0,0,0.0,0.0,
44,2020-05-24,0.0,662.0,0,0.0,0.0,
45,2020-05-25,0.0,1079.0,0,0.0,0.0,
46,2020-05-26,0.0,535.0,0,0.0,0.0,
47,2020-05-27,0.0,2907.0,0,0.0,0.0,
48,2020-05-28,0.0,149.0,0,0.0,0.0,
49,2020-05-29,0.0,106.0,0,0.0,0.0,
50,2020-06-01,0.0,437.0,0,0.0,0.0,
51,2020-06-02,0.0,893.0,0,0.0,0.0,
52,2020-06-03,0.0,2232.0,0,0.0,0.0,
53,2020-06-04,0.0,442.0,0,0.0,0.0,
54,2020-06-05,0.0,109.0,0,0.0,0.0,
55,2020-06-06,0.0,19.0,0,0.0,0.0,
56,2020-06-07,0.0,91.0,0,0.0,0.0,
57,2020-06-08,0.0,485.0,0,0.0,0.0,
58,2020-06-09,0.0,471.0,0,0.0,0.0,
59,2020-06-10,0.0,951.0,0,0.0,0.0,
60,2020-06-11,0.0,970.0,0,0.0,0.0,
61,2020-06-12,0.0,0.0,0,0.0,0.0,
62,2020-06-14,0.0,369.0,0,0.0,0.0,
63,2020-06-15,0.0,312.0,0,0.0,0.0,
64,2020-06-16,0.0,437.0,0,0.0,0.0,
65,2020-06-17,0.0,250.0,0,0.0,0.0,
66,2020-06-18,0.0,0.0,0,0.0,0.0,
67,2020-06-19,0.0,0.0,0,0.0,0.0,
68,2020-06-21,0.0,474.0,0,0.0,0.0,
69,2020-06-22,0.0,80.0,0,0.0,0.0,
70,2020-06-23,0.0,288.0,0,0.0,0.0,
71,2020-06-24,0.0,0.0,0,0.0,0.0,
72,2020-06-27,0.0,142.0,0,0.0,0.0,
73,2020-06-28,0.0,353.0,0,0.0,0.0,
74,2020-06-29,0.0,175.0,0,0.0,0.0,
75,2020-06-30,0.0,23.0,0,0.0,0.0,
76,2020-07-01,0.0,0.0,0,0.0,0.0,
77,2020-07-02,0.0,172.0,0,0.0,0.0,
78,2020-07-05,0.0,0.0,0,0.0,0.0,
79,2020-07-06,0.0,174.0,0,0.0,0.0,
80,2020-07-07,0.0,138.0,0,0.0,0.0,
81,2020-07-08,0.0,256.0,0,0.0,0.0,
82,2020-07-09,0.0,0.0,0,0.0,0.0,
83,2020-07-10,0.0,0.0,0,0.0,0.0,
84,2020-07-11,0.0,0.0,0,0.0,0.0,
85,2020-07-12,0.0,0.0,0,0.0,0.0,
86,2020-07-13,0.0,619.0,0,0.0,0.0,
87,2020-07-14,0.0,98.0,0,0.0,0.0,
88,2020-07-15,0.0,0.0,0,0.0,0.0,
89,2020-07-16,0.0,260.0,0,0.0,0.0,
90,2020-07-17,0.0,0.0,0,0.0,0.0,
91,2020-07-18,0.0,353.0,0,0.0,0.0,
92,2020-07-19,0.0,527.0,0,0.0,0.0,
93,2020-07-20,0.0,1238.0,0,0.0,0.0,
94,2020-07-21,0.0,4652.0,0,0.0,0.0,
95,2020-07-22,0.0,685.0,0,0.0,0.0,
